Alpha	Beta	Delta	Sigma	Theta	Artef	R	REM
25	18	0	0	4	0	0	3
18	8	1	0	9	17	0	2
26	9	0	0	4	1	0	2
25	16	0	0	14	1	0	1
30	10	0	0	0	0	0	1
22	15	0	0	0	0	0	0
14	17	0	0	6	0	0	0
7	8	3	0	4	9	0	0
13	14	0	0	4	0	0	0
30	6	0	0	1	0	0	0
17	13	0	0	0	0	0	1
17	11	0	0	1	0	0	0
4	16	0	0	12	0	0	0
0	15	0	0	22	1	0	0
0	7	1	0	16	9	0	0
0	34	1	0	28	0	0	0
0	20	1	1	30	0	0	0
0	24	8	1	23	0	0	1
0	17	3	0	17	0	0	2
1	2	3	0	23	0	0	0
2	6	4	2	31	0	0	2
0	0	5	5	31	0	0	4
1	0	9	5	19	0	0	4
0	0	9	3	29	0	0	0
0	0	11	2	17	0	0	0
1	0	15	3	23	0	0	2
0	0	19	2	17	0	0	0
1	0	24	1	9	0	0	1
0	0	16	3	15	0	0	2
0	0	28	2	10	0	0	0
1	0	28	4	0	0	0	0
0	0	28	5	9	0	0	0
0	0	34	0	11	0	0	0
0	0	31	6	9	0	0	0
0	0	39	0	4	0	0	0
0	0	30	3	10	0	0	0
2	0	41	2	5	0	0	1
2	0	38	1	2	0	0	0
1	0	45	0	0	0	0	0
1	0	37	1	6	0	0	0
0	0	35	0	12	0	0	0
0	0	37	2	2	0	0	0
1	0	43	1	10	0	0	0
0	0	28	1	15	9	0	0
0	0	32	1	10	0	0	0
0	0	42	1	8	0	0	0
0	0	37	1	7	0	0	0
0	0	42	1	11	0	0	0
0	0	38	1	11	0	0	0
0	0	40	0	12	0	0	0
0	0	43	2	3	0	0	0
0	0	42	1	6	0	0	0
0	0	47	1	2	0	0	0
0	0	39	2	0	0	0	0
0	0	51	0	3	0	0	0
0	0	48	1	3	0	0	0
0	0	34	1	11	0	0	1
0	0	32	1	7	0	0	0
0	0	31	4	3	0	0	1
2	0	27	0	2	0	0	0
1	0	14	0	15	11	0	3
0	0	18	7	8	0	0	0
0	0	15	3	17	0	0	0
2	0	14	6	26	0	0	0
0	0	16	5	11	0	0	1
0	0	16	1	27	0	0	0
1	0	9	2	40	0	0	0
0	1	4	0	32	3	0	0
0	0	4	2	17	0	0	0
0	0	4	0	29	0	0	0
0	0	8	2	11	0	0	1
0	1	8	1	10	0	0	0
0	0	4	3	17	0	0	1
0	0	8	4	11	0	0	0
0	1	3	1	17	0	0	0
0	0	3	0	0	0	0	0
0	0	4	0	0	0	0	0
0	0	2	2	14	0	0	0
0	1	3	1	14	0	0	0
0	1	5	3	15	0	0	0
1	0	5	4	9	16	0	0
1	1	2	1	7	0	0	0
1	1	2	5	4	0	0	2
0	0	4	5	7	0	0	0
1	0	4	3	18	0	0	1
1	0	8	4	22	0	0	3
6	0	5	3	2	0	0	0
3	0	10	3	10	0	0	1
3	0	12	4	7	0	0	0
1	0	14	1	13	0	0	1
0	0	15	2	16	0	0	0
0	0	20	2	0	0	0	0
1	0	23	1	8	0	0	0
0	0	30	1	2	0	0	2
0	0	26	2	5	0	0	1
0	0	29	1	5	0	0	0
0	0	35	2	0	0	0	0
0	0	34	1	2	0	0	0
0	0	37	3	0	0	0	0
0	40	0	4	0	0	0	0
0	42	4	8	0	0	0	0
0	40	2	8	0	0	0	0
0	46	3	4	0	0	0	0
0	42	4	11	0	0	0	0
0	34	1	4	12	0	0	0
0	17	1	22	0	0	2	2
0	13	2	16	0	0	1	1
0	11	2	11	0	0	1	0
0	11	4	9	0	0	3	1
0	14	2	9	0	0	2	0
0	20	2	10	0	0	0	0
0	26	1	5	0	0	0	0
0	19	1	8	0	0	0	1
0	37	0	5	0	0	0	1
0	36	1	5	0	0	0	0
0	45	2	9	0	0	0	0
0	31	1	4	0	0	0	1
0	47	3	3	0	0	0	0
0	48	1	2	0	0	0	0
0	43	3	0	0	0	0	0
0	40	1	3	0	0	0	0
0	44	2	0	0	0	0	0
0	49	1	2	0	0	0	0
0	49	6	2	0	0	0	0
0	50	2	3	0	0	0	0
0	52	2	2	0	0	0	0
0	57	0	2	0	0	0	0
0	45	0	5	0	0	0	0
0	27	2	0	25	0	0	0
0	14	1	2	0	0	0	2
0	11	0	10	0	1	1	1
0	10	2	13	0	0	0	1
0	7	1	16	1	1	0	1
0	17	2	16	0	0	0	2
0	15	3	2	0	0	1	0
0	27	6	5	0	0	1	3
1	13	1	6	0	0	0	0
0	5	0	8	0	0	0	0
1	2	0	18	0	0	0	0
0	0	0	31	0	0	0	0
1	1	0	12	0	0	0	0
2	1	0	19	0	0	0	0
1	0	0	19	0	0	0	0
2	0	0	23	0	0	1	0
4	0	0	9	0	0	2	0
0	1	0	11	0	1	0	0
2	0	0	10	0	0	3	0
2	0	0	16	0	0	0	0
8	0	0	3	0	0	0	0
3	2	0	21	0	0	0	0
2	0	0	19	0	0	0	0
6	5	0	16	3	1	0	0
7	0	0	2	0	0	0	0
2	0	0	14	0	2	0	0
9	0	0	1	0	0	0	0
7	0	0	8	0	1	0	0
4	1	0	3	0	0	0	0
9	1	0	6	0	0	0	0
3	1	0	10	0	0	0	0
8	4	0	7	0	0	0	0
2	0	1	5	0	0	0	0
1	6	3	5	0	0	0	0
1	4	3	1	0	0	0	1
0	0	2	16	0	0	0	0
2	5	3	5	0	0	1	1
2	1	2	0	0	0	0	0
1	2	1	11	0	0	0	0
0	2	2	3	0	0	0	0
0	1	1	4	0	0	2	0
0	3	4	14	0	0	2	0
0	4	2	3	0	0	1	0
0	4	2	6	0	0	1	0
0	3	2	7	0	0	1	0
0	2	6	7	0	0	0	0
0	9	7	8	0	0	1	0
0	5	1	13	0	0	0	0
0	8	4	5	0	0	0	0
0	4	5	7	0	0	0	1
0	9	4	12	1	0	2	2
1	2	1	4	9	0	0	0
0	4	2	4	0	0	1	0
0	3	3	0	0	0	1	0
0	4	6	7	0	0	1	0
0	6	3	15	0	0	0	0
0	5	4	9	0	0	1	0
0	4	5	8	0	0	1	1
0	10	0	18	0	0	0	1
